ID,age_upon_outcome,breed,color,date_of_birth,coat_pattern,name,outcome_type,sex_upon_outcome,sex
1,2 weeks,domestic shorthair,orange,07/07/2014 00:00,tabby,,Transfer,Intact Male,Male
2,1 month,domestic shorthair,blue /white,16/06/2014 00:00,tabby,Lucy,Adoption,Intact Female,Female
3,3 months,domestic shorthair,white/black,26/03/2014 00:00,,*Frida,Adoption,Spayed Female,Female
4,1 year,domestic mediumhair,black/white,27/03/2013 00:00,,Stella Luna,Return to Owner,Spayed Female,Female
5,3 weeks,domestic shorthair,black/white,16/12/2013 00:00,,,Transfer,Intact Male,Male
6,2 months,domestic shorthair,brown,02/06/2014 00:00,tabby,Elsa,Adoption,Spayed Female,Female
7,8 months,domestic shorthair,brown /white,05/07/2013 00:00,tabby,,Transfer,Unknown,Female
8,5 months,domestic shorthair,black,22/03/2014 00:00,tabby,Chester,Adoption,Neutered Male,Male
9,2 months,domestic shorthair,orange,03/08/2014 00:00,tabby,*Oliver,Adoption,Neutered Male,Male
10,1 year,domestic mediumhair,black/white,04/12/2012 00:00,,*Preston,Transfer,Neutered Male,Male
11,2 months,siamese,seal,27/04/2014 00:00,point,*Bumble,Transfer,Intact Female,Female
12,2 weeks,domestic shorthair,black,27/05/2014 00:00,,,Transfer,Unknown,Female
13,2 months,domestic shorthair,,14/04/2014 00:00,torbie,,Adoption,Spayed Female,Female
14,3 months,domestic shorthair,black,15/04/2014 00:00,,,Adoption,Spayed Female,Female
15,3 weeks,domestic shorthair,black,05/08/2014 00:00,,,Transfer,Intact Male,Male
16,3 years,domestic mediumhair,orange,02/08/2011 00:00,tabby,Pumpkin,Died,Neutered Male,Male
17,4 years,russian blue,blue,24/06/2010 00:00,,Winnie,Adoption,Spayed Female,Female
18,2 years,domestic shorthair,cream /white,26/11/2012 00:00,tabby,Snowflake,Transfer,Neutered Male,Male
19,7 years,russian blue,blue,16/07/2007 00:00,,Smoke,Adoption,Neutered Male,Male
20,1 month,domestic shorthair,,05/06/2014 00:00,calico,*Dora,Transfer,Intact Female,Female
21,1 year,domestic mediumhair,brown,24/09/2013 00:00,tabby,,Transfer,Intact Female,Female
22,2 years,domestic shorthair,,31/05/2012 00:00,calico,,Transfer,Intact Female,Female
23,2 months,domestic shorthair,chocolate,10/08/2013 00:00,,*Cosmo,Transfer,Neutered Male,Male
24,4 weeks,domestic shorthair,brown,21/03/2014 00:00,tabby,,Transfer,Intact Male,Male
25,3 months,domestic shorthair,brown /white,01/08/2014 00:00,tabby,,Transfer,Intact Female,Female
26,1 year,domestic shorthair,,01/01/2013 00:00,torbie,*Sophie,Adoption,Spayed Female,Female
27,2 months,domestic mediumhair,brown,04/09/2013 00:00,tabby,,Euthanasia,Intact Female,Female
